id,observed_on,user_id,place_guess,latitude,longitude,place_town_name,scientific_name,field:location name,field:number of bees collected,field:oba collection method,field:oba collector id,field:sample id,field:trap installed,field:trap removed
10299013,3/18/2018,429964,"3070 SW Morris Ave, Corvallis, OR 97333, USA",44.55552457,-123.2854209,,,bumble bee flew into my house,1,net,apm,1,,
10330143,3/20/2018,429964,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56745898,-123.2832032,,Osmanthus × burkwoodii,OSU pollinator garden,3,net,apm,2,,
10330837,3/20/2018,429964,"NE Smith Ln, Corvallis, OR 97333, USA",44.56543029,-123.2409816,,Salix,OSU organic club farm,5,net,apm,3,,
10404883,3/14/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60300738,-123.2644865,,Berberis aquifolium,,2,net,JLP,1,,
10404922,3/19/2018,175529,"3700 NW Highland Dr, Corvallis, OR, US",44.60316361,-123.2649772,,Berberis aquifolium,,1,net,JLP,3,,
10412271,3/19/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60299581,-123.2643803,,Forsythia,,1,net,JLP,2,,
10493350,3/29/2018,816767,"17501 SW Gopher Valley Rd, Sheridan, OR, US",45.13355251,-123.3749765,,Salix,McConnell,2,net,jt,3,,
10493720,3/29/2018,816767,"17501 SW Gopher Valley Rd, Sheridan, OR, US",45.13352979,-123.3749312,,Berberis aquifolium,McConnell,1,net,jt,2,,
10494118,3/29/2018,816767,"Yamhill County, US-OR, US",45.13371139,-123.3730467,,Ericaceae,gvr,1,net,jt,1,,
10494828,3/29/2018,816767,"17701 SW Gopher Valley Rd, Sheridan, OR, US",45.13419996,-123.3732355,,Arctostaphylos densiflora,gvr,2,net,jt,4,,
10496035,3/29/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17172506,-123.1861913,,Acer macrophyllum,McMinnville O'Loughlin Farms,2,net,Mol,1,,
10496093,3/29/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17252639,-123.1853538,,Salix,O'Loughlin Farms,2,net,Mol,2,,
10496679,3/29/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59890375,-123.3154306,,Arctostaphylos densiflora,backyard,5,net,EW,1,,
10497653,3/29/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17098121,-123.1860797,,Prunus salicina,O'Loughlin Farms,1,net,Mol,5,,
10497683,3/29/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17100501,-123.186222,,Pyrus,O'Loughlin Farms,3,net,Mol,4,,
10497898,3/29/2018,792468,mcminnville oregon,45.173867,-123.180494,,Salix,O'Loughlin Farms,2,net,Mol,3,,
10507934,3/29/2018,429964,"17701 Gopher Valley Rd, Sheridan, OR 97378, USA",45.13395608,-123.3727218,,Arctostaphylos,,1,net,jt,4,,
10507984,3/29/2018,429964,"17701 Gopher Valley Rd, Sheridan, OR 97378, USA",45.13396833,-123.372543,,Arctostaphylos densiflora,,1,net,apm,4,,
10515339,3/30/2018,792083,"Smith Ln, Corvallis, OR, US",44.56537615,-123.2408774,,Salix lasiandra,ORGS student farm,2,net,KDZ,1,,
10517115,3/30/2018,792083,"Smith Ln, Corvallis, OR, US",44.56553616,-123.240802,,Berberidaceae,,,net,,,,
10529001,3/31/2018,429964,"Coos County, US-OR, US",43.39458552,-124.2532426,,Lithodora diffusa,,1,net,apm,5,,
10534415,3/31/2018,792468,"12104 SE Burns Rd, McMinnville, OR, US",45.17146923,-123.1865218,,Taraxacum,O'Loughlin Farms,2,net,Mol,6,,
10534831,3/31/2018,429964,"2075 Overleaf Loop, Yachats, OR 97498, USA",44.32433021,-124.1038733,,Ceanothus gloriosus,,6,net,apm,6,,
10535374,3/31/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17087374,-123.1862008,,Lonicera caerulea,O'Loughlin Farms,11,net,Mol,7,,
10556591,3/31/2018,429964,"804 Trail, Yachats, OR 97498, USA",44.32584701,-124.1035201,,Salix,,3,net,apm,7,,
10557681,4/1/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59921851,-123.3158353,,,backyard,1,net,EW,2,,
10597210,4/3/2018,823959,"Eugene, OR  97405, Eugene, OR, US",43.95330205,-123.1451552,,Lamium purpureum,Work,1,net,NS,4,,
10602999,4/3/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60299401,-123.2644322,,Berberis aquifolium,,2,net,JLP,4,,
10622496,4/4/2018,792468,"12127–14043 SE Burns Rd, McMinnville, OR, US",45.16780279,-123.1847682,,Brassica rapa,French's property,5,net,Mol,8,,
10622586,4/4/2018,792468,"12127–14043 SE Burns Rd, McMinnville, OR, US",45.16780362,-123.1848865,,Raphanus,O'Loughlin Farms,3,net,Mol,9,,
10623567,4/4/2018,792468,"12100 SE Burns Rd, McMinnville, OR, US",45.17147723,-123.186601,,,O'Loughlin Farms,2,net,Mol,10,,
10624405,4/4/2018,819248,"314 N 7th St, Carlton, OR, US",45.29535516,-123.1696701,,Apis mellifera,Cherry Blossom Trees -Carlton,1,net,MW,MW1,,
10627113,3/12/2018,271351,Luckiamute State Natural Are,44.73161,-123.15276,,Berberis aquifolium,Luckiamute State Natural Area,1,net,TER,1,,
10627298,3/12/2018,271351,Luckiamute State Natural Area,44.735226,-123.148284,,Salix,Luckiamute State Natural Area,1,net,JAB,1,,
10636586,4/4/2018,175529,"311 NW Lewisburg Ave, Corvallis, OR, US",44.6306001,-123.2468893,,Salicaceae,,1,net,JLP,5,,
10637716,3/19/2018,271351,Luckiamute State Natural Area,44.736316,-123.147275,,Bellis perennis,Luckiamute State Natural Area,1,net,TER,2,,
10642156,3/20/2018,271351,Minto-Brown Island Park,44.918991,-123.078262,,Berberis aquifolium,Minto-Brown Island Park,1,net,TER,3,,
10643243,3/30/2018,271351,Luckiamute State Natural Area,44.73161,-123.15276,,,Luckiamute State Natural Area,1,net,TER,4,,
10643289,3/30/2018,271351,Luckiamute State Natural Area,44.73161,-123.15276,,Berberis aquifolium,Luckiamute State Natural Area,2,net,TER,5,,
10643342,3/30/2018,271351,Luckiamute State Natural Area,44.73396,-123.14907,,Salix,Luckiamute State Natural Area,2,net,TER,6,,
10644098,4/5/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59915206,-123.3150268,,,backyard,2,net,EW,3,,
10653940,4/5/2018,819248,"6451 NE Hilltop Ln, Dayton, OR, US",45.25825705,-123.0743143,,Ribes sanguineum,Winters Hill,1,net,MW,2,,
10665863,4/6/2018,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.17127468,-123.1861223,,Elaeagnus multiflora,O'Loughlin Farms,2,net,Mol,11,,
10665872,3/29/2018,752114,"Jefferson, OR  97352, Jefferson, OR, US",44.78583933,-123.0164383,,Sphecodes puncticeps,Jefferson Farm. Heritage Seedlings.,2,net,STephanie Hazen,SH8,,
10666295,4/6/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1710387,-123.1857406,,Ribes rubrum,O'Loughlin Farms,1,net,Mol,12,,
10666350,4/6/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1708779,-123.186305,,Grossulariaceae,O'Loughlin Farms,3,net,Mol,13,,
10666518,4/6/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.5989316,-123.3152746,,Berberis repens,backyard,4,net,EW,4,,
10666968,4/6/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1711638,-123.1859622,,Narcissus,O'Loughlin Farms,1,net,Mol,14,,
10669493,4/6/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17090872,-123.1857904,,Ribes sanguineum,O'Loughlin Farms,1,net,Mol,15,,
10669799,4/6/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17153798,-123.1854057,,Amelanchier alnifolia,O'Loughlin Farms,1,net,Mol,16,,
10670013,4/6/2018,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.17126039,-123.1866378,,Forsythia,O'Loughlin Farms,1,net,Mol,16,,
10688898,4/6/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60310771,-123.2650981,,Berberis aquifolium,,1,net,JLP,6,,
10708005,3/11/2018,800960,"41010 SE Louden Rd, Corbett, OR, US",45.50324628,-122.2408819,,Bombus,,1,net,Pa,1,,
10708415,4/4/2018,800960,"42338 E Larch Mountain Rd, Corbett, OR, US",45.52134667,-122.2337717,,Andrena,"42338 E Larch Mt Rd Corbett,Or",1,net,Pa,3,,
10735646,4/9/2018,792468,"3001–3099 Middlebrook Dr, Newberg, OR, US",45.31342685,-122.9484215,,Prunus,,2,net,Mol,18,,
10735698,4/9/2018,792468,"3006 Middlebrook Dr, Newberg, OR, US",45.31350265,-122.948441,,Rosmarinus officinalis,,1,net,Mol,19,,
10736606,4/9/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17106375,-123.1859993,,Hydrangea macrophylla,O'Loughlon Farms,1,net,Mol,20,,
10736630,4/9/2018,792775,"Yamhill County, US-OR, US",45.1706325,-123.186087,,Ribes rubrum,O'Loughlin farms,5,net,dto,dto2,,
10736638,4/9/2018,792775,"12125 SE Burns Rd, McMinnville, OR 97128, USA",45.17243634,-123.1853743,,Salix,oloughlin farms,11,net,dto,dto3,,
10736653,4/9/2018,792775,"12125 SE Burns Rd, McMinnville, OR 97128, USA",45.17102894,-123.1859547,,Hydrangea macrophylla,O'Loughlin farms,1,net,dto,dto4,,
10739111,4/9/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59941624,-123.3156766,,Fragaria virginiana,backyard,1,net,EW,5,,
10739367,4/9/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17422855,-123.1835729,,Prunus avium,O'Loughlin Farms,10,net,Mol,21,,
10739673,4/9/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17494079,-123.1836261,,Erythronium,O'Loughlin Farms,1,net,Mol,22,,
10739674,4/9/2018,841568,"2436 Olive St, Eugene, OR 97405, USA",44.03282118,-123.0945414,,Cornus sericea,"my yard, 2436 Olive St, Eugene",2,net,LOH,1,,
10739684,4/9/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59899064,-123.3157444,,Pyrus communis,backyard,3,net,EW,6,,
10740135,4/9/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17154383,-123.184047,,Raphanus,O'Loughlin Farms,1,net,Mol,23,,
10740140,4/9/2018,816767,"17701 SW Gopher Valley Rd, Sheridan, OR, US",45.1335272,-123.3727599,,Berberis aquifolium,gvr,2,net,jt,6,,
10740602,4/9/2018,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.17069603,-123.1861524,,Pieris japonica,O'Loughlin Farms,1,net,Mol,24,,
10764343,4/10/2018,792468,"12680 SE Burns Rd, McMinnville, OR, US",45.16564046,-123.1864952,,Acer macrophyllum,O'Loughlin Farms,1,net,Mol,25,,
10818760,3/31/2018,793138,Rolling Hills Rd,44.759065,-123.232464,,,,1,net,PW,1,,
10818810,3/27/2018,793138,Rolling Hills Rd,44.759065,-123.232464,,,,1,net,PW,2,,
10818849,3/29/2018,793138,Rolling Hills Rd,44.759065,-123.232464,,,,1,pan trap,PW,3,,
10818877,3/31/2018,793138,Rolling Hills Rd,44.759065,-123.232464,,,,1,pan trap,PW,4,,
10819945,4/5/2018,793138,Rolling Hills Rd,44.759065,-123.232464,,,,4,pan trap,PW,5,4/4/2018 15:00,4/5/2018 8:50
10820023,4/7/2018,793138,Rolling Hills Rd,44.759065,-123.232464,,,,2,pan trap,PW,6,4/4/2018 15:00,4/7/2018 11:15
10828253,4/9/2018,793138,Rolling Hills Rd,44.759065,-123.232464,,,,5,pan trap,PW,7,4/9/2018 12:15,4/9/2018 15:45
10970652,4/14/2018,793138,Rolling Hills Rd,44.759065,-123.232464,,Taraxacum officinale,,2,net,PW,8,,
10988408,4/15/2018,841568,"2436 Olive St, Eugene, OR 97405, USA",44.03286594,-123.094287,,Ilex aquifolium,LOH yard,2,net,LOH,3,,
10992803,4/14/2018,841568,"Lane County, OR, USA",43.853892,-122.637524,,Mimulus guttatus,Lookout Point Reservior,1,net,LOH,2,,
11081813,4/17/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17107918,-123.1859792,,Rheum rhabarbarum,"McMinnville, O'Loughlin Farms",4,net,Mol,26,,
11081897,4/17/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17101295,-123.1858856,,Prunus avium,"McMinnville, O'Loughlin Farms",4,net,Mol,27,,
11083208,4/17/2018,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.17130966,-123.1858797,,Taraxacum,"McMinnville, O'Loughlin Farms",8,net,Mol,28,,
11088180,4/17/2018,806535,"3774 Logsden Rd, Siletz, OR 97380, USA",44.73500809,-123.8607587,,Rhododendron indicum,home. 30 feet north side of house,3,net,rah,1,,
11134789,4/18/2018,792083,"640 SE Crystal Lake Dr, Corvallis, OR, US",44.55285307,-123.2607889,,Acer macrophyllum,Willamette Park along Willamette River.,1,net,KDZ,3,,
11135058,4/18/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17086523,-123.18625,,Hyacinthoides,O'Loughlin Farms,1,net,Mol,29,,
11135442,4/18/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17091387,-123.1859575,,Ribes nidigrolaria,O'Loughlin Farms,1,net,Mol,30,,
11136055,4/18/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17086822,-123.1859419,,Malus x domestica,O'Loughlin Farms,2,net,Mol,31,,
11136237,4/18/2018,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.1711946,-123.1860268,,Viburnum carlesii,O'Loughlin Farms,1,net,Mol,32,,
11137495,4/18/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.17418144,-123.1850714,,Amelanchier alnifolia,O'Loughlin Farms,1,net,Mol,33,,
11138583,4/18/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1750203,-123.182888,,Prosartes hookeri,O'loughlin Farms,1,net,Mol,34,,
11141260,4/18/2018,429964,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56757934,-123.2830002,,Ceanothus,OSU,7,net,apm,8,,
11141292,4/18/2018,806535,"3774 Logsden Rd, Siletz, OR 97380, USA",44.73501527,-123.8606828,,Rhododendron,home. 30 feet from north side of house,4,net,rah,2,,
11180266,4/19/2018,524107,"3658 Upper River Rd, Grants Pass, OR, US",42.44645127,-123.3826795,,,Raptor Creek Farm,8,net,Rachel Nypaver (JoCo),RMN1,,
11183143,4/19/2018,806535,"3774 Logsden Rd, Siletz, OR 97380, USA",44.73501634,-123.8606648,,Cerastium glomeratum,home. 15 feet from north side of house,2,net,rah,3,,
11185469,4/19/2018,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.17069661,-123.1860364,,Vaccinium,O'Loughlin Farms,4,net,Mol,35,,
11186002,4/19/2018,792083,"825 Vista Ave SE, Salem, OR, US",44.91153505,-123.0377302,,Crataegus monogyna,"Clark Creek Park, Mill Creek",3,net,KDZ,4,,
11187297,4/19/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59931842,-123.3148512,,Ribes sanguineum,backyard,4,net,EW,7,,
11187409,4/19/2018,792468,"12125 SE Burns Rd, McMinnville, OR, US",45.1745635,-123.1832631,,Heracleum maximum,O'loughlin Farms,8,net,Mol,36,,
11187966,4/19/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59907683,-123.3155583,,Arctostaphylos glauca,backyard,1,net,EW,8,,
11188667,4/19/2018,524107,,,,,Nemophila menziesii atomaria,,,net,,,,
11189379,4/19/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59897829,-123.3154386,,Arctostaphylos densiflora,backyard,1,net,EW,9,,
11190260,4/19/2018,175529,"3700 NW Highland Dr, Corvallis, OR, US",44.60311345,-123.2651745,,,,5,net,JLP,8,,
11190666,4/19/2018,175529,"3700 NW Highland Dr, Corvallis, OR, US",44.60317933,-123.264195,,Arctostaphylos columbiana,,1,net,JLP,9,,
11190845,4/19/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60300155,-123.2643634,,Berberis aquifolium,,,net,,,,
11220724,4/20/2018,858490,"811 SW 67th St, Redmond, OR 97756, USA",44.26748393,-121.2521029,,Ribes cereum,"Redmond, Eagle Crest Resort, river path",1,net,hw,1,,
11222406,4/20/2018,858490,"1140 Swallow Ln, Redmond, OR 97756, USA",44.26505678,-121.2502844,,Ribes cereum,"Redmond, Eagle Crest Resort, river path",1,net,hw,2,,
11223110,4/20/2018,858490,"1140 Swallow Ln, Redmond, OR 97756, USA",44.26472721,-121.2502879,,Ribes cereum,"Redmond, Eagle Crest Resort",2,net,hw,3,,
11223844,4/20/2018,861496,"6500 Falcon Crest Dr, Redmond, OR, US",44.25966643,-121.2491414,,Prunus triloba,Eagle Crest,1,net,NP,2,,
11223854,4/20/2018,858490,"1138 Swallow Ln, Redmond, OR 97756, USA",44.26402893,-121.2493535,,Ribes cereum,"Redmond, Eagle Crest Resort, river path",1,net,hw,4,,
11238203,4/20/2018,858275,"25415 Bachelor Ln, Bend, OR 97701, USA",44.08805896,-121.0562136,,,"Oregon, central, alfalfa",1,net,SA,6,,
11243183,4/20/2018,861496,"1700 Condor Dr, Redmond, OR, US",44.2600332,-121.262831,,Euphorbia,"Eagle Crest Resort, Redmond",1,net,NP,3,,
11284988,4/21/2018,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.25802053,-123.0744696,,Berberis aquifolium,"Dayton, Winters Hill Estate",7,net,Mol,37,,
11285588,4/21/2018,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.25796806,-123.074397,,Arctostaphylos adenotricha,"Dayton, Winters Hill Rsyaye",2,net,Mol,38,,
11285796,4/21/2018,175529,"1255 NW Highland Dell Dr, Corvallis, OR, US",44.60308847,-123.264119,,Arctostaphylos uva-ursi,,4,net,JLP,11,,
11286717,4/21/2018,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.25745588,-123.0756008,,Brassica rapa,"Dayton, Winters Hill Estate",8,net,Mol,39,,
11286903,4/21/2018,429964,"2824 NW Orchard Ave, Corvallis, OR 97330, USA",44.56755587,-123.2829928,,Ceanothus,osu,5,net,apm,9,,
11290415,4/21/2018,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.25735738,-123.0759321,,Marah oregana,"Dayton, Winters Hill Esyate",1,net,Mol,40,,
11291323,4/21/2018,792468,"6451 NE Hilltop Ln, Dayton, OR, US",45.2590248,-123.0738235,,Ribes sanguineum,Winter's Hill Estate,2,net,Mol,41,,
11291742,4/21/2018,792468,"6475 NE Hilltop Ln, Dayton, OR, US",45.26171733,-123.0715488,,Taraxacum,"Dayton, Winters Hill Estate",4,net,Mol,42,,
11291901,4/21/2018,792468,"Dayton, OR  97114, Dayton, OR, US",45.26200919,-123.0712839,,Dicentra formosa,"Dayton, Winters Hill Estate",1,net,Mol,43,,
11293629,4/21/2018,429964,"2708 NW Johnson Ave, Corvallis, OR 97330, USA",44.56846237,-123.2815094,,Andrena miserabilis,,12,net,apm,10,,
11294671,4/19/2018,271351,Luckiamute State Natural Area,44.73117,-123.15244,,Symphoricarpos albus,Luckiamute State natural Area,1,net,TER,7,,
11294733,4/19/2018,271351,Luckiamute State Natural Area,44.7326,-123.15124,,Berberis aquifolium,Luckiamute State Natural Area,1,net,TER,8,,
11294799,4/19/2018,271351,Luckiamute State Natural Area,44.73308,-123.15064,,Berberis aquifolium,Luckiamute State Natural Area,3,net,TER,9,,
11295056,4/19/2018,271351,"Polk County, US-OR, US",44.7372,-123.14677,,Salix,Luckiamute State Natural Area,1,net,TER,10,,
11295420,4/20/2018,271351,"Clackamas County, US-OR, US",45.28177,-122.74948,,,NWREC,1,net,TER,12,,
11295754,4/19/2018,271351,Luckiamute State Area,44.73117,-123.15244,,Taraxacum officinale,Luckiamute State Natural area,1,net,JAB,2,,
11295829,4/19/2018,271351,Luckiamute State Area,44.73117,-123.15244,,Bellis perennis,Luckiamute State Natural Area,1,net,JAB,3,,
11295918,4/19/2018,271351,Luckiamute State Area,44.7372,-123.14677,,Salix,Luckiamute State Natural Area,1,net,JAB,4,,
11296096,4/19/2018,271351,Luckiamute State Area,44.73892,-123.14405,,,Luckiamute State Natural area,1,vane trap,JAB,5,4/18/2018 13:55,4/19/2018 14:45
11296548,4/19/2018,271351,Luckiamute State Natural Area,44.73669,-123.14688,,Bellis perennis,Luckiamute State Natural Area,1,net,TER,11,,
11322664,4/19/2018,843723,tumalo bend oregon,44.18173,-121.317563,,Ribes cereum,Twin Bridges trailhead,6,net,GP,1,,
11323792,4/20/2018,843723,eagle crest resort oregon,44.267583,-121.255859,,Ribes cereum,Eagle Crest river trail,3,net,GP,2,,
11323902,4/20/2018,843723,eagle crest resort oregon,44.267522,-121.255065,,Ribes cereum,Eagle Crest river trail,3,net,GP,3,,
11324081,4/21/2018,843723,"Safeway Century Drive, Bend, Oregon",44.047323,-121.329507,,Ribes aureum,"Safeway, Century Dr.",2,net,GP,4,,
11324407,4/19/2018,843723,"twin bridges Rd, tumalo bend oregon",44.182155,-121.318167,,Ribes cereum,Twin Bridges trailhead,8,net,rlp,1,,
11324761,4/20/2018,843723,Eagle Crest Resort,44.267651,-121.255947,,Ribes cereum,Eagle Crest River Trail,3,net,rlp,2,,
11325687,4/21/2018,843723,"Safeway, Century Drive",44.047361,-121.330312,,Ribes aureum,Safeway Century Dr.,2,net,RLP,4,,
11326544,4/20/2018,843723,Eagle Crest Resort,44.267352,-121.254349,,Ribes cereum,Eagle Crest Resort,3,net,RLP,3,,
11336527,4/22/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59892746,-123.3154221,,Eschscholzia lobbii,backyard,2,net,EW,11,,
11337882,4/22/2018,754260,"3334 NW Covey Run, Corvallis, OR 97330, USA",44.59896011,-123.3153149,,,backyard,3,net,EW,12,,
11340559,4/22/2018,841568,"Lane County, US-OR, US",44.00711709,-123.0358914,,Eschscholzia californica,Lane Community College parking lot,4,net,LOH,4,,
11341258,4/22/2018,792468,"12275 SE Burns Rd, McMinnville, OR, US",45.16929152,-123.1851539,,Raphanus raphanistrum,"McMinnville, O'Loughlin Farms",6,net,Mol,44,,
11341608,4/22/2018,429964,"Marquam Trail, Portland, OR 97221, USA",45.51034033,-122.7193477,Portland,,,8,net,bls,tba,,
11369193,4/21/2018,806535,"Lincoln County, US-OR, US",44.73505971,-123.8608764,,,3774 logden road. near maple tree. found dead on driveway. probably looking for nesting site and got hit with weed whacker debris.,1,net,rah,5,,
11369249,4/21/2018,806535,"3774 Logsden Rd, Siletz, OR 97380, USA",44.73501454,-123.8607085,,Hyacinthoides non-scripta,"3774 logsdon road, siletz. home. sunny. 68 degrees f. light wind",1,net,rah,4,,
11370186,4/23/2018,841568,"2436 Olive St, Eugene, OR 97405, USA",44.032792,-123.094528,,,LOH yard,17,net,LOH,5,,
11371343,4/23/2018,806535,"3774 Logsden Rd, Siletz, OR 97380, USA",44.73489936,-123.8608694,,,"3774 logsdon road, siletz. home. maple tree at beginning of driveway. 70 degrees f. sunny. light wind.",2,net,rah,6,,
