lat,long,elevation
44.94,-123.01,55.36042404174805
44.94,-123.02,54.62135696411133
45.17,-123.19,44.03467178344727
45.17,-123.21,43.46817016601562
42.65,-123.32,564.3661499023438
45.21,-123.20,42.18781280517578
44.60,-123.29,84.2247543334961
44.60,-123.24,66.34658813476562
44.60,-123.32,185.5585479736328
42.26,-123.58,427.7989807128906
45.23,-123.10,24.51423263549805
45.23,-123.16,46.39707183837891
43.99,-123.04,158.6714935302734
43.99,-123.03,181.476806640625
44.93,-123.07,44.64807891845703
44.93,-123.06,39.51061248779297
42.46,-123.48,252.8744659423828
45.50,-122.98,40.75197982788086
42.44,-122.88,365.7117919921875
44.57,-123.28,79.01384735107422
44.58,-123.31,87.15058898925781
42.41,-123.39,307.7003784179688
45.22,-123.18,48.71895980834961
44.60,-123.27,103.3037872314453
43.07,-124.14,25.78763580322266
44.00,-123.12,263.6566772460938
44.00,-123.13,301.8207702636719
45.04,-124.01,5.437593460083008
45.50,-122.99,40.93363952636719
44.88,-122.89,137.9402923583984
44.93,-123.03,47.90070724487305
45.17,-123.18,36.00447463989258
44.93,-123.04,49.4361572265625
44.59,-123.29,84.78270721435547
45.25,-123.27,126.071647644043
45.84,-122.85,36.91422653198242
44.60,-123.31,191.3421783447266
42.46,-123.49,253.6502532958984
44.60,-123.26,135.5205535888672
45.57,-122.86,78.94654846191406
44.03,-123.09,131.4289703369141
45.56,-122.86,75.3884048461914
45.19,-123.17,33.83858871459961
42.10,-123.69,426.0368957519531
44.57,-123.31,85.90995788574219
44.56,-123.29,72.74351501464844
44.52,-123.30,68.54750061035156
45.56,-122.87,52.53229904174805
42.09,-123.68,423.5175170898438
42.16,-123.65,395.3346252441406
44.86,-123.46,275.4798278808594
43.05,-124.13,26.36649322509766
42.56,-123.58,220.4276733398438
43.85,-122.64,296.6333923339844
45.43,-122.80,56.73896408081055
45.16,-123.19,37.17629241943359
34.74,-118.39,909.9158935546875
44.62,-123.28,192.4077606201172
33.64,-115.96,488.1283264160156
42.10,-123.68,425.2239990234375
45.16,-123.32,77.29325103759766
45.15,-123.32,71.9970932006836
44.70,-123.44,93.34798431396484
45.64,-122.82,9.869779586791992
45.51,-122.85,67.62093353271484
45.52,-122.64,44.60614776611328
45.56,-122.91,64.31829071044922
42.31,-122.97,532.69189453125
42.48,-122.67,527.8405151367188
42.06,-123.63,474.9874877929688
33.73,-115.82,861.00439453125
45.52,-122.99,56.36639785766602
45.25,-123.28,134.1766052246094
42.49,-122.67,533.2215576171875
45.21,-123.17,33.51933670043945
44.90,-122.89,126.9020767211914
44.93,-123.02,54.10346221923828
44.94,-123.03,48.63241195678711
45.30,-122.96,56.86201477050781
45.22,-123.20,47.7834587097168
45.48,-123.23,165.2033081054688
45.48,-123.24,176.5279083251953
45.47,-123.25,212.9200286865234
45.52,-123.90,-1.376251935958862
42.36,-123.41,310.1648254394531
45.52,-122.85,67.3589859008789
45.49,-122.83,51.7384147644043
44.96,-123.26,79.10729217529297
45.29,-123.19,38.3316764831543
45.34,-123.19,51.46088409423828
44.59,-123.25,69.3652572631836
44.88,-124.04,17.17519950866699
44.83,-124.06,4.045383453369141
44.76,-124.07,140.441650390625
45.69,-122.78,7.227920532226562
44.61,-124.05,5.878459930419922
44.62,-124.05,6.432764053344727
44.61,-124.06,5.153137683868408
45.33,-122.97,99.5355224609375
45.20,-123.13,49.0552978515625
45.02,-123.15,80.24543762207031
45.02,-123.14,80.61441802978516
45.03,-123.15,123.0385284423828
42.43,-123.54,393.3062744140625
42.43,-123.55,406.8253479003906
42.30,-123.19,550.2864990234375
45.69,-122.79,8.026914596557617
45.47,-122.61,79.35942840576172
42.07,-123.64,471.1066284179688
42.06,-123.64,478.1728820800781
43.83,-122.77,415.0034484863281
43.79,-122.76,777.0426025390625
45.64,-122.81,3.641871929168701
45.49,-122.61,71.47197723388672
44.71,-122.71,147.3643951416016
45.48,-122.59,75.70970916748047
45.13,-123.37,81.86653137207031
42.23,-123.66,435.1739501953125
42.24,-123.69,421.8427429199219
45.87,-122.82,52.13786697387695
42.24,-123.70,472.0995788574219
42.31,-122.98,548.2105102539062
45.87,-122.83,74.67996978759766
44.66,-123.24,135.8642272949219
44.64,-121.14,678.0859985351562
45.53,-122.61,68.30013275146484
44.59,-123.31,123.2552642822266
45.50,-122.60,69.46891021728516
44.95,-123.01,53.94256210327148
44.94,-123.04,47.71928405761719
45.38,-122.76,38.48244094848633
42.20,-123.30,462.7845764160156
42.14,-123.35,1151.34765625
42.14,-123.34,1288.607543945312
42.53,-123.59,405.4347534179688
42.44,-123.68,617.9488525390625
42.51,-123.62,392.739013671875
44.89,-122.89,133.19921875
44.56,-123.23,68.2997817993164
45.41,-122.63,58
45.56,-122.65,72
44.36,-123.37,121
45.56,-122.69,61
44.63,-123.20,70
44.93,-122.95,63
44.63,-123.22,68
42.07,-123.17,702
42.07,-123.18,731
42.42,-122.91,377
44.02,-123.16,283
44.03,-123.16,191
43.68,-123.08,270
45.88,-122.89,99
45.83,-122.96,271
42.01,-123.55,1388
43.69,-122.37,487
44.29,-120.84,873
42.22,-123.04,616
44.66,-123.23,127
45.27,-123.01,57
44.64,-123.29,307
42.15,-123.05,535
44.88,-123.22,56
44.23,-120.99,1011
45.68,-121.31,229
45.45,-122.87,189
44.59,-123.23,61
45.38,-121.87,603
45.68,-121.30,138
42.34,-123.62,745
42.36,-123.66,1280
<<<<<<< HEAD
45.48,-123.02,55
=======
42.05,-122.94,1529
45.50,-122.28,48
44.12,-122.64,227
44.12,-122.65,288
42.49,-123.71,1277
44.86,-122.25,564
44.86,-122.24,577
44.91,-120.37,535
44.91,-120.27,808
42.50,-123.71,1274
42.23,-123.70,517
44.31,-121.59,993
45.48,-123.02,55
45.35,-123.00,251
46.10,-122.98,2
45.46,-123.97,62
44.24,-121.56,1063
45.50,-122.24,321
45.30,-123.42,559
45.31,-123.42,651
44.92,-123.12,42
44.01,-123.15,233
44.02,-123.15,298
45.69,-121.38,63
42.65,-123.59,223
42.41,-123.42,298
45.54,-122.37,10
44.91,-121.27,891
44.49,-121.16,866
44.68,-121.14,746
42.25,-123.69,375
42.28,-123.65,399
44.36,-121.30,772
42.22,-123.73,600
45.50,-123.22,106
45.47,-123.19,67
45.22,-123.34,322
42.51,-124.41,17
44.24,-121.18,939
45.21,-123.35,405
45.18,-123.22,44
45.08,-123.48,66
45.13,-123.38,139
45.21,-123.34,264
45.47,-123.21,100
45.47,-123.20,99
42.23,-123.71,499
45.47,-123.16,213
43.75,-122.89,258
43.75,-122.90,254
45.24,-123.27,163
44.47,-121.64,888
44.48,-121.64,885
44.89,-122.88,134
44.92,-120.47,394
42.29,-123.65,464
45.79,-122.89,53
45.75,-122.84,7
42.00,-123.55,1358
45.82,-122.97,185
45.86,-122.82,37
42.81,-124.40,24
45.16,-123.33,70
45.01,-122.77,129
43.88,-121.45,1266
42.24,-123.79,1284
42.23,-123.77,1170
42.24,-123.75,1068
42.36,-123.42,292
44.68,-121.15,740
42.35,-123.41,299
46.12,-123.79,26
44.37,-120.53,1116
44.55,-120.36,1174
44.55,-120.35,1147
44.58,-120.28,831
44.73,-119.64,580
44.77,-119.64,568
44.77,-119.67,555
44.83,-119.73,555
44.87,-119.72,831
44.98,-119.72,1399
45.00,-119.87,1329
44.81,-119.97,528
44.99,-120.17,904
44.81,-120.17,715
44.44,-120.58,1134
44.47,-120.62,1411
44.47,-120.63,1413
44.54,-123.28,68
42.30,-120.95,1488
44.87,-119.71,840
44.90,-120.10,1063
44.47,-120.61,1273
45.50,-122.84,52
42.35,-123.38,300
44.82,-122.61,442
44.79,-122.57,228
44.81,-122.60,414
44.81,-122.61,390
44.80,-122.62,293
44.82,-120.37,432
44.79,-120.40,425
44.80,-120.01,519
44.80,-120.00,507
44.49,-120.40,1377
45.22,-123.35,383
45.21,-123.31,256
44.29,-120.85,872
44.47,-123.54,746
44.71,-123.16,56
44.72,-123.16,56
44.73,-123.15,53
44.92,-123.06,47
42.41,-123.35,297
42.36,-123.38,353
42.36,-123.36,325
45.68,-121.39,36
45.69,-121.34,193
44.65,-120.25,592
44.63,-120.22,652
45.71,-120.19,127
43.12,-121.04,1324
44.63,-120.30,696
44.56,-119.84,1069
44.55,-119.79,971
44.53,-119.75,858
44.54,-119.75,866
45.60,-122.73,19
44.55,-118.53,1389
44.36,-117.25,665
44.99,-122.80,65
44.37,-117.23,642
44.33,-117.26,795
44.33,-117.27,788
44.27,-117.20,648
44.39,-117.24,638
44.39,-117.25,656
44.40,-117.24,638
44.60,-117.13,680
44.66,-117.11,889
44.67,-117.12,938
42.48,-123.43,339
44.09,-123.02,134
45.10,-117.68,1220
45.10,-117.69,1297
45.09,-117.72,1406
45.06,-117.71,1482
45.56,-122.67,62
44.01,-123.14,224
45.72,-119.30,218
42.21,-123.31,478
45.01,-117.64,1021
44.79,-117.82,1041
44.00,-123.14,251
42.07,-123.19,763
43.22,-121.17,1396
45.55,-122.38,9
44.42,-121.59,1155
44.94,-123.07,73
44.05,-121.31,1110
42.15,-123.34,1248
44.86,-122.26,561
44.85,-123.11,269
45.55,-122.37,8
45.55,-122.36,8
44.13,-121.42,1070
44.06,-121.27,1102
44.13,-121.33,971
44.09,-121.31,1076
44.09,-121.37,1137
44.00,-121.38,1187
43.95,-121.44,1269
43.16,-121.11,1387
42.61,-120.60,1467
42.60,-120.60,1474
42.55,-120.62,1513
42.47,-120.64,1592
42.65,-120.61,1431
42.30,-120.35,1511
42.13,-120.61,1493
42.12,-120.67,1504
42.13,-120.83,1763
42.17,-120.83,1756
44.18,-121.32,953
44.03,-121.37,1217
43.17,-121.11,1321
45.60,-122.94,72
45.49,-122.86,66
45.49,-122.84,50
45.01,-123.03,38
45.10,-117.70,1331
45.10,-117.72,1358
45.47,-122.54,87
42.42,-122.92,375
44.03,-123.10,176
45.71,-120.16,247
42.45,-122.88,367
45.68,-121.29,83
44.72,-123.07,60
45.27,-123.34,460
45.48,-123.97,138
45.48,-123.96,88
45.51,-122.65,16
44.77,-123.14,48
44.81,-123.09,48
44.84,-123.21,54
44.81,-123.10,45
44.82,-123.11,45
44.84,-123.18,42
45.67,-121.24,59
45.16,-123.18,36
45.00,-123.21,53
44.52,-123.29,70
44.01,-123.12,313
44.85,-123.07,241
42.53,-123.58,391
45.83,-122.97,193
45.83,-122.98,194
44.47,-121.04,951
45.30,-122.97,54
42.09,-122.97,1029
42.04,-122.91,1940
42.08,-122.94,1331
44.31,-121.27,858
42.24,-123.68,394
45.48,-122.63,40
45.68,-121.40,34
45.48,-120.46,170
45.53,-122.61,68
45.50,-122.84,52
45.50,-122.84,58
42.36,-123.41,295
42.35,-123.38,300
42.36,-123.41,302
42.36,-123.42,294
42.36,-123.42,294
42.36,-123.41,303
45.47,-122.61,79
44.47,-123.54,746
45.01,-122.77,133
45.01,-122.77,132
45.27,-123.01,57
45.47,-122.61,79
44.71,-123.16,56
44.72,-123.16,56
44.73,-123.15,53
44.73,-123.15,54
44.73,-123.15,54
44.71,-123.16,56
44.73,-123.15,54
44.92,-123.06,47
44.93,-123.06,41
44.73,-123.15,54
42.41,-123.35,297
42.36,-123.41,301
42.36,-123.38,353
44.73,-123.15,53
42.36,-123.36,325
42.42,-122.91,376
42.42,-122.91,376
45.68,-121.39,36
45.69,-121.34,193
45.68,-121.31,216
45.68,-121.31,216
45.68,-121.31,216
45.68,-121.31,215
45.68,-121.31,139
44.65,-120.25,592
44.63,-120.22,652
44.63,-120.22,651
44.63,-120.22,652
44.90,-120.10,1027
44.90,-120.10,1029
45.71,-120.19,127
45.71,-120.19,136
45.71,-120.19,133
44.94,-123.03,49
42.49,-122.67,535
42.49,-122.67,538
42.49,-122.67,545
42.48,-122.67,516
43.12,-121.04,1324
44.63,-120.30,696
44.63,-120.30,694
44.63,-120.30,689
44.56,-119.84,1069
44.55,-119.79,971
44.53,-119.75,858
44.63,-120.30,692
44.54,-119.75,866
45.60,-122.73,19
44.94,-123.01,55
44.55,-118.53,1389
44.36,-117.25,665
44.36,-117.25,659
44.99,-122.80,65
44.36,-117.25,645
44.99,-122.80,62
44.37,-117.23,642
44.99,-122.80,70
44.37,-117.23,637
44.33,-117.26,795
44.33,-117.27,788
44.36,-117.25,651
45.01,-122.77,134
42.43,-123.54,401
44.27,-117.20,648
44.37,-117.23,640
42.43,-123.55,407
42.43,-123.55,410
42.43,-123.55,416
42.43,-123.55,411
45.57,-122.86,79
44.27,-117.20,648
44.60,-123.26,131
44.39,-117.24,638
44.37,-117.23,655
44.39,-117.24,637
44.39,-117.25,656
44.40,-117.24,638
44.60,-117.13,676
44.60,-117.13,680
44.60,-117.13,680
44.66,-117.11,889
44.39,-117.25,640
44.39,-117.25,640
44.60,-117.13,681
44.66,-117.11,869
44.67,-117.12,938
44.66,-117.11,887
44.66,-117.11,889
44.67,-117.12,955
45.02,-123.15,79
45.02,-123.15,75
45.02,-123.14,68
45.02,-123.15,64
45.02,-123.15,65
45.02,-123.15,80
42.48,-123.43,339
42.36,-123.41,302
42.36,-123.41,302
44.09,-123.02,134
45.50,-122.84,55
45.50,-122.84,59
45.50,-122.84,59
45.50,-122.84,58
44.02,-123.16,280
44.02,-123.16,280
44.02,-123.16,234
42.36,-123.41,301
45.10,-117.68,1220
45.10,-117.68,1233
45.10,-117.68,1226
45.10,-117.68,1253
45.10,-117.69,1297
45.10,-117.69,1300
45.10,-117.69,1304
45.09,-117.72,1406
45.09,-117.72,1409
45.09,-117.72,1416
45.09,-117.72,1424
45.06,-117.71,1482
45.06,-117.71,1482
45.06,-117.71,1483
45.56,-122.67,62
44.01,-123.14,224
44.01,-123.14,224
44.00,-123.13,256
44.02,-123.16,271
45.72,-119.30,218
45.72,-119.30,218
45.72,-119.30,219
44.94,-123.03,48
44.94,-123.03,52
44.94,-123.03,52
42.21,-123.31,478
45.01,-117.64,1021
45.10,-117.69,1311
45.09,-117.72,1423
44.79,-117.82,1041
44.79,-117.82,1041
45.72,-119.30,219
44.00,-123.14,251
42.07,-123.19,763
42.07,-123.19,736
44.00,-123.14,251
44.00,-123.13,248
42.07,-123.17,704
43.22,-121.17,1396
45.55,-122.38,9
45.55,-122.38,9
45.55,-122.38,9
45.55,-122.38,9
44.42,-121.59,1155
44.42,-121.59,1155
44.68,-121.15,737
44.42,-121.59,1147
44.68,-121.15,737
44.42,-121.59,1155
45.55,-122.38,9
45.53,-122.61,68
45.50,-122.84,52
45.50,-122.84,58
42.36,-123.41,295
42.35,-123.38,300
42.36,-123.41,302
42.36,-123.42,294
42.36,-123.42,294
42.36,-123.41,303
45.47,-122.61,79
44.47,-123.54,746
45.01,-122.77,133
45.01,-122.77,132
45.27,-123.01,57
45.47,-122.61,79
44.71,-123.16,56
44.72,-123.16,56
44.73,-123.15,53
44.73,-123.15,54
44.73,-123.15,54
44.71,-123.16,56
44.73,-123.15,54
44.92,-123.06,47
44.93,-123.06,41
44.73,-123.15,54
42.41,-123.35,297
42.36,-123.41,301
42.36,-123.38,353
44.73,-123.15,53
42.36,-123.36,325
42.42,-122.91,376
42.42,-122.91,376
45.68,-121.39,36
45.69,-121.34,193
45.68,-121.31,216
45.68,-121.31,216
45.68,-121.31,216
45.68,-121.31,215
45.68,-121.31,139
44.65,-120.25,592
44.63,-120.22,652
44.63,-120.22,651
44.63,-120.22,652
44.90,-120.10,1027
44.90,-120.10,1029
45.71,-120.19,127
45.71,-120.19,136
45.71,-120.19,133
44.94,-123.03,49
42.49,-122.67,535
42.49,-122.67,538
42.49,-122.67,545
42.48,-122.67,516
43.12,-121.04,1324
44.63,-120.30,696
44.63,-120.30,694
44.63,-120.30,689
44.56,-119.84,1069
44.55,-119.79,971
44.53,-119.75,858
44.63,-120.30,692
44.54,-119.75,866
45.60,-122.73,19
44.94,-123.01,55
44.55,-118.53,1389
44.36,-117.25,665
44.36,-117.25,659
44.99,-122.80,65
44.36,-117.25,645
44.99,-122.80,62
44.37,-117.23,642
44.99,-122.80,70
44.37,-117.23,637
44.33,-117.26,795
44.33,-117.27,788
44.36,-117.25,651
45.01,-122.77,134
42.43,-123.54,401
44.27,-117.20,648
44.37,-117.23,640
42.43,-123.55,407
42.43,-123.55,410
42.43,-123.55,416
42.43,-123.55,411
45.57,-122.86,79
44.27,-117.20,648
44.60,-123.26,131
44.39,-117.24,638
44.37,-117.23,655
44.39,-117.24,637
44.39,-117.25,656
44.40,-117.24,638
44.60,-117.13,676
44.60,-117.13,680
44.60,-117.13,680
44.66,-117.11,889
44.39,-117.25,640
44.39,-117.25,640
44.60,-117.13,681
44.66,-117.11,869
44.67,-117.12,938
44.66,-117.11,887
44.66,-117.11,889
44.67,-117.12,955
45.02,-123.15,79
45.02,-123.15,75
45.02,-123.14,68
45.02,-123.15,64
45.02,-123.15,65
45.02,-123.15,80
42.48,-123.43,339
42.36,-123.41,302
42.36,-123.41,302
44.09,-123.02,134
45.50,-122.84,55
45.50,-122.84,59
45.50,-122.84,59
45.50,-122.84,58
44.02,-123.16,280
44.02,-123.16,280
44.02,-123.16,234
42.36,-123.41,301
45.10,-117.68,1220
45.10,-117.68,1233
45.10,-117.68,1226
45.10,-117.68,1253
45.10,-117.69,1297
45.10,-117.69,1300
45.10,-117.69,1304
45.09,-117.72,1406
45.09,-117.72,1409
45.09,-117.72,1416
45.09,-117.72,1424
45.06,-117.71,1482
45.06,-117.71,1482
45.06,-117.71,1483
45.56,-122.67,62
44.01,-123.14,224
44.01,-123.14,224
44.00,-123.13,256
44.02,-123.16,271
45.72,-119.30,218
45.72,-119.30,218
45.72,-119.30,219
44.94,-123.03,48
44.94,-123.03,52
44.94,-123.03,52
42.21,-123.31,478
45.01,-117.64,1021
45.10,-117.69,1311
45.09,-117.72,1423
44.79,-117.82,1041
44.79,-117.82,1041
45.72,-119.30,219
44.00,-123.14,251
42.07,-123.19,763
42.07,-123.19,736
44.00,-123.14,251
44.00,-123.13,248
42.07,-123.17,704
43.22,-121.17,1396
45.55,-122.38,9
45.55,-122.38,9
45.55,-122.38,9
45.55,-122.38,9
44.42,-121.59,1155
44.42,-121.59,1155
44.68,-121.15,737
44.42,-121.59,1147
44.68,-121.15,737
44.42,-121.59,1155
45.55,-122.38,9
